Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_175802.0;-0.348;-1.021;9.815;-0.003;-0.013;0.004;410.5;-47.831;18.263;-58.669;5.0;-32.95812;-60.63654;52.8;29.1
20211011_175802.5;-0.255;-0.762;9.657;0.005;0.007;0.005;410.5;-48.394;17.963;-57.263;5.0;-32.95813;-60.63644;53.6;30.1
20211011_175803.0;0.049;-0.755;10.256;-0.005;0.028;-0.001;410.5;-48.469;15.900;-60.525;5.0;-32.95813;-60.63644;53.6;30.1
20211011_175803.5;-0.111;-1.522;10.292;-0.027;0.020;0.007;410.5;-48.975;18.281;-59.419;5.0;-32.95815;-60.63635;51.9;30.1
20211011_175804.0;-0.499;-1.013;9.925;-0.023;-0.014;-0.005;410.5;-48.975;18.281;-59.419;5.0;-32.95815;-60.63635;51.9;30.1
20211011_175804.5;-1.759;-0.736;9.889;-0.048;-0.022;0.002;372.5;-47.681;18.413;-58.838;5.0;-32.95816;-60.63627;51.2;29.2
20211011_175805.0;-0.447;-0.975;10.309;-0.008;-0.013;0.019;372.5;-48.788;16.856;-58.800;5.0;-32.95816;-60.63627;51.2;29.2
20211011_175805.5;-0.262;-1.238;10.788;0.020;0.055;0.042;372.5;-48.394;17.963;-59.588;5.0;-32.95818;-60.63618;50.6;27.9
20211011_175806.0;-0.504;-0.999;9.621;-0.008;-0.003;0.012;372.5;-50.456;19.406;-60.488;5.0;-32.95818;-60.63618;50.6;27.9
20211011_175806.5;-0.526;-1.286;10.090;0.008;-0.002;0.016;372.5;-50.419;18.619;-58.613;5.0;-32.95819;-60.63610;49.9;26.9
20211011_175807.0;-0.621;-1.140;9.080;-0.008;-0.023;0.012;372.5;-48.094;17.644;-59.138;5.0;-32.95819;-60.63610;49.9;26.9
20211011_175807.5;-0.746;-1.378;10.263;0.013;-0.030;0.018;420.4;-49.106;17.963;-58.800;5.0;-32.95820;-60.63603;48.3;25.7
20211011_175808.0;-0.403;-1.126;9.686;-0.010;0.000;0.018;471.1;-48.600;20.175;-58.669;5.0;-32.95820;-60.63603;48.3;25.7
20211011_175808.5;-0.140;-1.579;9.525;0.021;-0.012;0.012;471.1;-48.844;18.750;-59.119;5.0;-32.95821;-60.63596;49.5;24.0
20211011_175809.0;-0.339;-1.646;9.279;-0.016;-0.008;-0.025;471.1;-48.544;17.813;-61.613;5.0;-32.95822;-60.63589;47.3;22.1
20211011_175809.5;-0.073;-2.012;9.190;0.025;0.011;-0.025;471.1;-48.788;16.856;-59.888;5.0;-32.95822;-60.63589;47.3;22.1
20211011_175810.0;-0.193;-2.149;9.659;-0.005;0.001;-0.024;471.1;-48.225;17.006;-59.438;5.0;-32.95823;-60.63582;45.7;19.3
20211011_175810.5;-0.255;-2.096;9.626;0.006;-0.023;-0.027;471.1;-49.069;16.556;-59.100;5.0;-32.95823;-60.63582;45.7;19.3
20211011_175811.0;-0.133;-2.022;9.465;-0.002;-0.002;-0.022;471.1;-47.044;16.200;-59.006;5.0;-32.95824;-60.63577;45.8;15.0
20211011_175811.5;-0.348;-2.333;9.906;0.009;-0.004;-0.016;471.1;-49.725;19.088;-59.719;5.0;-32.95824;-60.63577;45.8;15.0
20211011_175812.0;-0.286;-1.802;9.432;0.001;0.000;-0.010;471.1;-48.919;16.238;-60.206;5.0;-32.95824;-60.63576;46.2;9.4
20211011_175812.5;-0.399;-1.732;9.892;0.005;0.008;-0.001;471.1;-49.650;17.025;-58.631;5.0;-32.95824;-60.63576;46.2;9.4
20211011_175813.0;-0.303;-1.502;9.525;0.001;0.004;-0.003;471.1;-49.706;18.619;-59.400;5.0;-32.95824;-60.63574;46.0;6.2
20211011_175813.5;-0.413;-1.656;9.777;0.003;0.002;-0.001;471.1;-48.919;16.238;-58.950;5.0;-32.95824;-60.63574;46.0;6.2
20211011_175814.0;-0.291;-1.366;9.669;0.001;-0.005;-0.005;471.1;-49.125;18.750;-59.119;5.0;-32.95824;-60.63575;42.9;2.6
20211011_175814.5;-0.382;-1.097;9.786;0.001;-0.001;-0.001;471.1;-49.538;17.663;-59.100;5.0;-32.95824;-60.63575;42.9;2.6
20211011_175815.0;-0.372;-0.724;9.825;0.001;0.001;0.002;471.1;-49.519;16.875;-60.338;5.0;-32.95824;-60.63573;44.6;1.9
20211011_175815.5;-0.332;-0.769;9.856;-0.001;-0.000;0.001;471.1;-49.800;17.344;-59.100;5.0;-32.95824;-60.63573;44.6;1.9
20211011_175816.0;-0.284;-0.786;9.765;-0.001;0.001;0.000;471.1;-47.644;16.838;-59.138;5.0;-32.95824;-60.63573;45.7;1.7
20211011_175817.0;-0.327;-0.779;9.875;0.000;-0.000;0.000;471.1;-47.475;15.881;-59.775;5.0;-32.95824;-60.63573;45.7;1.7
20211011_175817.5;-0.344;-0.743;9.748;0.001;-0.000;-0.000;471.1;-49.331;15.450;-59.419;5.0;-32.95823;-60.63571;48.3;2.6
20211011_175818.0;-0.281;-0.788;9.827;-0.000;-0.000;0.000;471.1;-48.469;15.900;-59.438;5.0;-32.95823;-60.63571;48.3;2.6
20211011_175818.5;-0.286;-0.774;9.793;-0.001;0.001;0.001;471.1;-48.488;15.900;-60.994;5.0;-32.95823;-60.63570;48.7;2.9
20211011_175819.0;-0.296;-0.791;9.849;-0.000;-0.000;-0.001;471.1;-48.750;15.281;-59.888;5.0;-32.95823;-60.63570;48.7;2.9
20211011_175819.5;-0.363;-0.755;9.851;-0.000;-0.001;-0.001;471.1;-49.388;17.813;-60.506;5.0;-32.95825;-60.63565;48.9;4.9
20211011_175820.0;-0.243;-0.784;9.767;0.001;-0.001;-0.001;471.1;-49.069;16.556;-60.356;5.0;-32.95825;-60.63565;48.9;4.9
20211011_175820.5;-0.300;-0.776;9.851;-0.000;-0.001;0.000;471.1;-48.019;15.263;-59.606;5.0;-32.95823;-60.63572;51.9;0.0
20211011_175821.0;-0.353;-0.764;9.880;-0.000;-0.001;-0.001;471.1;-49.519;17.344;-59.869;5.0;-32.95823;-60.63572;51.9;0.0
20211011_175821.5;-0.346;-0.791;9.877;0.001;0.002;0.002;471.1;-47.813;17.475;-61.013;5.0;-32.95823;-60.63570;52.7;0.0
20211011_175822.0;-0.279;-0.740;9.652;0.001;-0.002;-0.001;471.1;-50.250;17.363;-60.319;5.0;-32.95823;-60.63570;52.7;0.0
20211011_175822.5;-0.250;-0.769;9.700;-0.001;0.001;0.000;471.1;-49.856;19.238;-59.100;5.0;-32.95823;-60.63571;51.2;0.0
20211011_175823.0;-0.289;-0.731;9.729;-0.001;-0.000;-0.001;471.1;-46.575;14.925;-59.625;5.0;-32.95823;-60.63571;51.2;0.0
20211011_175823.5;-0.312;-0.738;9.825;-0.001;0.001;-0.001;471.1;-50.813;17.044;-60.150;5.0;-32.95822;-60.63571;53.1;0.0
20211011_175824.0;-0.300;-0.297;9.679;0.007;-0.002;0.002;471.1;-51.000;18.469;-59.850;5.0;-32.95822;-60.63571;53.1;0.0
20211011_175824.5;-0.284;-0.151;9.753;-0.002;0.002;0.003;471.1;-51.656;16.913;-60.300;5.0;-32.95822;-60.63572;53.4;0.0
20211011_175825.0;-0.348;-0.817;9.657;-0.008;0.002;0.001;471.1;-49.500;16.556;-61.125;5.0;-32.95822;-60.63572;53.4;0.0
20211011_175825.5;-0.356;-0.824;9.805;-0.003;0.006;0.003;471.1;-50.175;14.981;-59.850;5.0;-32.95822;-60.63571;53.6;1.6
20211011_175826.0;-0.308;-0.355;9.650;0.004;-0.003;-0.002;471.1;-48.769;15.750;-61.125;5.0;-32.95822;-60.63571;53.6;1.6
20211011_175826.5;-0.262;-0.086;9.901;0.001;0.009;0.000;471.1;-45.638;16.969;-59.813;5.0;-32.95822;-60.63571;54.1;1.6
20211011_175827.0;-0.205;0.532;9.693;0.002;0.010;0.004;524.2;-46.163;15.244;-61.200;5.0;-32.95822;-60.63571;54.1;1.6
20211011_175827.5;-0.212;0.596;9.872;0.004;-0.002;0.007;524.2;-45.356;17.438;-60.600;5.0;-32.95822;-60.63569;53.7;4.3
20211011_175828.0;-0.348;0.555;10.259;0.020;-0.010;0.001;524.2;-46.706;19.200;-58.388;5.0;-32.95822;-60.63569;53.7;4.3
20211011_175828.5;-0.198;0.515;9.784;0.007;0.006;-0.008;524.2;-46.013;15.075;-61.050;5.0;-32.95823;-60.63567;53.3;8.0
20211011_175829.0;-0.140;0.694;9.949;0.003;0.019;0.001;586.2;-48.525;17.494;-60.525;5.0;-32.95823;-60.63567;53.3;8.0
20211011_175829.5;-0.109;0.587;9.652;-0.002;-0.014;0.001;586.2;-47.119;18.244;-60.563;5.0;-32.95823;-60.63563;53.2;12.3
20211011_175830.0;-0.272;-0.927;9.741;0.002;0.023;-0.003;586.2;-48.075;16.838;-60.375;5.0;-32.95823;-60.63563;53.2;12.3
20211011_175830.5;-0.004;0.730;9.303;0.032;-0.003;-0.003;652.8;-46.800;16.988;-62.119;5.0;-32.95824;-60.63559;53.4;15.2
20211011_175831.0;-0.243;0.900;8.871;0.004;0.033;-0.007;652.8;-48.375;17.325;-60.375;5.0;-32.95824;-60.63559;53.4;15.2
20211011_175831.5;0.164;0.239;10.701;0.013;0.011;-0.001;652.8;-47.494;16.688;-60.544;5.0;-32.95825;-60.63553;53.0;17.6
20211011_175832.0;-0.571;0.917;9.281;0.014;-0.043;-0.007;652.8;-47.381;17.625;-61.163;5.0;-32.95825;-60.63553;53.0;17.6
20211011_175832.5;-0.128;-0.034;9.650;0.039;0.019;0.001;652.8;-48.769;16.069;-59.888;5.0;-32.95826;-60.63547;52.6;21.2
20211011_175833.0;-0.830;-0.274;9.786;0.012;-0.005;0.021;652.8;-47.625;16.519;-59.925;5.0;-32.95826;-60.63547;52.6;21.2
20211011_175833.5;-0.396;-0.642;9.401;0.015;-0.042;-0.009;652.8;-49.331;15.919;-58.631;5.0;-32.95828;-60.63541;51.9;23.2
20211011_175834.0;-0.277;-0.384;10.208;-0.081;-0.020;-0.009;652.8;-46.781;16.669;-59.475;5.0;-32.95828;-60.63541;51.9;23.2
20211011_175834.5;-0.375;0.283;9.391;0.028;-0.011;-0.005;582.2;-47.400;18.413;-59.156;5.0;-32.95829;-60.63534;51.6;24.0
20211011_175835.0;-0.171;0.342;10.168;0.015;0.003;-0.009;518.3;-46.200;16.500;-61.200;5.0;-32.95829;-60.63534;51.6;24.0
20211011_175835.5;-0.231;0.579;9.822;0.004;-0.022;-0.018;470.0;-48.225;17.006;-60.525;5.0;-32.95830;-60.63526;52.3;27.0
20211011_175836.0;-0.245;0.769;9.516;0.005;0.007;0.007;421.2;-48.788;16.538;-60.356;5.0;-32.95830;-60.63526;52.3;27.0
20211011_175836.5;-0.770;0.570;9.169;-0.012;0.011;0.001;421.2;-50.100;17.513;-61.256;5.0;-32.95832;-60.63517;52.2;31.2
20211011_175837.0;-0.004;-0.839;9.621;0.010;0.002;0.006;379.2;-48.825;17.644;-61.144;5.0;-32.95832;-60.63517;52.2;31.2
20211011_175837.5;-0.099;0.891;9.777;0.025;0.006;0.005;379.2;-48.806;16.856;-61.913;5.0;-32.95834;-60.63507;52.2;34.4
20211011_175838.0;-0.265;0.498;9.937;0.010;0.017;0.012;421.5;-49.838;17.981;-60.656;5.0;-32.95834;-60.63507;52.2;34.4
20211011_175838.5;-0.300;-0.348;9.810;-0.001;-0.000;0.007;421.5;-48.563;18.600;-60.525;5.0;-32.95837;-60.63497;51.9;35.6
20211011_175839.0;0.699;-0.599;8.522;-0.006;-0.030;0.004;421.5;-47.663;17.306;-60.394;5.0;-32.95837;-60.63497;51.9;35.6
20211011_175839.5;0.028;-0.937;9.293;-0.004;0.004;-0.001;469.5;-48.356;16.856;-61.463;5.0;-32.95839;-60.63486;52.5;37.9
20211011_175840.0;0.004;-0.743;9.738;0.001;0.017;-0.003;469.5;-49.388;17.494;-63.150;5.0;-32.95839;-60.63486;52.5;37.9
20211011_175840.5;-0.384;-0.757;9.899;0.012;-0.015;0.001;469.5;-48.225;16.688;-61.613;5.0;-32.95841;-60.63474;52.1;38.5
20211011_175841.0;-0.217;-0.843;10.172;-0.027;0.022;0.007;419.5;-47.325;15.731;-61.950;5.0;-32.95841;-60.63474;52.1;38.5
20211011_175841.5;-0.356;-0.807;9.446;0.012;0.008;0.015;380.1;-48.938;16.706;-60.206;5.0;-32.95843;-60.63464;52.4;38.6
20211011_175842.0;-0.138;-0.678;9.899;0.019;0.005;-0.011;424.5;-51.881;14.550;-59.813;5.0;-32.95843;-60.63464;52.4;38.6
20211011_175842.5;-0.547;-0.920;9.008;-0.018;-0.026;-0.015;483.9;-50.831;17.531;-60.469;5.0;-32.95846;-60.63452;52.1;39.2
20211011_175843.0;-0.023;-0.944;9.808;-0.001;-0.001;-0.014;540.2;-49.069;16.856;-59.569;5.0;-32.95846;-60.63452;52.1;39.2
20211011_175843.5;-0.152;-0.637;8.907;0.018;0.026;-0.001;603.4;-48.956;17.813;-60.206;5.0;-32.95847;-60.63440;52.0;39.2
20211011_175844.0;-0.344;-0.597;9.346;-0.031;-0.018;-0.005;603.4;-47.663;17.625;-61.931;5.0;-32.95847;-60.63440;52.0;39.2
20211011_175844.5;-0.382;-0.506;9.849;0.007;0.005;-0.003;603.4;-46.781;16.988;-60.244;5.0;-32.95849;-60.63427;51.7;39.8
20211011_175845.0;-0.253;-0.309;10.004;-0.010;0.013;0.012;603.4;-49.088;16.856;-60.356;5.0;-32.95849;-60.63427;51.7;39.8
20211011_175845.5;-0.557;-0.343;9.248;0.011;-0.030;-0.003;603.4;-48.506;17.006;-58.650;5.0;-32.95853;-60.63415;53.0;41.3
20211011_175846.0;-0.272;-0.209;8.763;-0.028;-0.021;0.000;671.3;-47.850;19.050;-55.875;5.0;-32.95853;-60.63415;53.0;41.3
20211011_175846.5;0.205;-0.410;9.829;-0.020;0.022;0.007;671.3;-48.788;16.856;-58.331;5.0;-32.95855;-60.63405;52.2;41.7
20211011_175847.0;-0.346;-0.863;10.452;0.022;0.019;0.005;671.3;-48.525;17.794;-60.206;5.0;-32.95855;-60.63405;52.2;41.7
20211011_175847.5;-0.636;-0.743;9.623;0.017;-0.024;-0.008;606.1;-47.813;17.475;-60.225;5.0;-32.95856;-60.63393;50.0;42.3
20211011_175848.0;-0.444;-0.604;9.501;-0.000;0.023;-0.013;540.3;-48.225;17.475;-58.669;5.0;-32.95858;-60.63379;49.6;43.5
