Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Light,Magnetic_x,Magnetic_y,Magnetic_z,Proximity,Latitude,Longitude,Elevation,Speed
20211011_191233,-0.281,-0.975,9.645,0.001,-0.003,-0.002,12.2,-21.375,3.281,-52.594,5.0,-32.93321,-60.65631,31.8,0.0
20211011_191233,-0.221,-0.939,9.607,-0.002,0.002,0.001,12.2,-19.163,5.775,-53.269,5.0,-32.93321,-60.65631,31.9,0.0
20211011_191234,-0.243,-0.874,9.628,0.002,-0.003,-0.002,12.2,-19.744,6.094,-56.213,5.0,-32.93322,-60.65631,32.0,0.0
20211011_191234,-0.274,-0.879,9.650,0.003,-0.004,0.001,12.2,-19.763,6.413,-54.656,5.0,-32.93322,-60.65631,32.0,0.0
20211011_191235,-0.181,-1.040,9.856,-0.003,-0.003,-0.000,12.2,-18.600,6.075,-56.231,5.0,-32.93322,-60.65631,32.2,0.0
20211011_191235,-0.454,-0.264,9.853,0.003,-0.003,0.036,12.2,-20.025,5.625,-55.725,5.0,-32.93322,-60.65631,32.2,0.0
20211011_191236,-0.324,0.290,9.695,0.010,-0.014,0.091,12.2,-20.644,7.369,-57.113,5.0,-32.93321,-60.65631,31.6,0.0
20211011_191236,-0.260,0.196,9.600,-0.008,-0.011,0.094,12.2,-21.169,5.644,-54.150,5.0,-32.93321,-60.65631,31.6,0.0
20211011_191237,-0.164,-0.513,9.530,-0.033,-0.009,0.067,12.2,-22.013,5.025,-53.663,5.0,-32.93322,-60.65632,31.4,0.0
20211011_191237,-0.071,-0.132,9.805,-0.009,-0.014,0.009,12.2,-21.900,6.131,-54.919,5.0,-32.93322,-60.65632,31.4,0.0
20211011_191238,0.174,0.012,9.659,0.007,-0.032,-0.028,15.9,-21.338,6.281,-56.325,5.0,-32.93322,-60.65632,31.1,0.0
20211011_191238,0.178,-0.515,9.226,-0.003,-0.011,-0.035,32.8,-22.519,7.406,-55.838,5.0,-32.93322,-60.65632,31.1,0.0
20211011_191239,-0.066,-1.145,9.645,-0.014,-0.004,-0.046,26.0,-20.025,5.306,-56.981,5.0,-32.93324,-60.65632,34.1,6.3
20211011_191239,-0.042,-1.416,9.782,0.021,0.009,-0.055,23.2,-20.006,5.306,-55.725,5.0,-32.93324,-60.65632,34.1,6.3
20211011_191240,0.195,-1.112,9.655,0.015,0.013,-0.039,20.8,-20.288,5.006,-55.875,5.0,-32.93327,-60.65633,33.9,8.9
20211011_191240,-0.008,-1.143,9.880,-0.010,-0.039,0.064,18.9,-21.131,4.069,-56.475,5.0,-32.93327,-60.65633,33.9,8.9
20211011_191241,-0.095,-1.366,9.839,-0.014,-0.022,0.088,18.9,-18.394,3.863,-55.913,5.0,-32.93330,-60.65633,32.2,10.0
20211011_191241,-0.097,-0.609,9.465,0.004,-0.022,0.158,24.1,-21.769,1.706,-55.369,5.0,-32.93330,-60.65633,32.2,10.0
20211011_191242,-0.530,-0.367,9.978,0.034,-0.016,0.246,24.1,-22.688,4.406,-47.738,5.0,-32.93333,-60.65633,36.4,11.3
20211011_191242,-1.371,-0.177,9.892,0.068,-0.060,0.387,24.1,-20.775,6.900,-52.294,5.0,-32.93333,-60.65633,36.4,11.3
20211011_191243,-1.922,0.249,10.596,-0.007,-0.052,0.434,26.8,-23.363,6.938,-54.881,5.0,-32.93335,-60.65633,32.6,9.8
20211011_191243,-2.373,0.158,8.620,-0.004,-0.075,0.451,26.8,-29.738,8.794,-56.138,5.0,-32.93335,-60.65633,32.6,9.8
20211011_191244,-1.608,-0.460,8.584,0.034,-0.063,0.377,39.1,-31.200,9.600,-57.188,5.0,-32.93338,-60.65632,31.8,11.2
